brand,tag,question,content
미니학습지,환불,환불 요청 전 주요 필수 확인사항,"<p><b>환불 신청 전 확인사항</b></p>
<ul>
  <li><b>발송 전 환불</b>: 디지털 교재를 다운로드하지 않았다면 100% 환불 가능합니다.</li>
  <li><b>디지털 교재 다운로드 시</b>: 다운로드한 경우, 결제일로부터 7일 이내라도 환불이 불가합니다.</li>
  <li><b>교재 발송 후 (7일 이내)</b>: 왕복 배송비 8,000원을 차감 후 환불됩니다. 단, 반품 교재는 미사용·재판매 가능 상태여야 합니다.</li>
  <li><b>결제 7일 이후</b>: 전자상거래법 및 공정거래위원회 기준에 따라 환불이 불가합니다.</li>
  <li><b>중복 결제·카드 변경</b>: 해당 사유는 100% 환불 가능합니다.</li>
</ul>

<p><b>디지털 콘텐츠 환불 규정</b></p>
<ul>
  <li>디지털 학습지를 다운로드한 경우, 복제가 가능한 상태이므로 환불 불가.</li>
  <li>다운로드하지 않았다면 결제 후 7일 이내 환불 신청 가능. 단, 7일 이후에는 수강 이력이 없더라도 환불 불가.</li>
</ul>

<p><b>페이퍼 + 디지털 학습지 구매 시</b></p>
<ul>
  <li><b>교재 발송 전</b>: 디지털 학습지를 다운로드하지 않았다면 전액 환불 가능.</li>
  <li><b>교재 발송 후</b>:
    <ul>
      <li>교재·사은품이 재판매 가능하면 왕복 배송비(8,000원) 제외 후 환불.</li>
      <li>교재 비닐을 제거했더라도 재판매 가능하면 환불 가능.</li>
      <li>교재·사은품이 사용되어 재판매 불가한 경우, 7일 이내라도 환불 불가.</li>
    </ul>
  </li>
</ul>"
미니학습지,배송,배송주소를 변경하고 싶습니다.,"<p><b>배송 주소 변경 안내</b></p>
<ul>
<li><b>평일 정오(12시) 이후</b>에는 배송 주소 변경이 불가합니다(이미 배송 프로세스가 시작된 상태).</li>
<li><b>발송 처리되기 전(평일 정오 12시 이전)</b>이라면 가능한 빨리 <a href=""https://studymini.com/inquiry/"" target=""_blank""><u>1:1 문의하기</u></a>로 요청해 주세요.</li>
<li>주문 완료 후 주소를 변경하면 잘못된 주소로 배송될 수 있으니 주의가 필요합니다.</li>
<li>이미 발송이 완료된 경우에는 주소 변경이 불가하며, 추가 요금이 발생할 수 있습니다.</li>
</ul>"
미니학습지,수강,학습문답 시스템 이용 안내 (+AI 학습문답 추가),"<p>학습문답 시스템은 강의 수강 중 생기는 궁금증을 <b>영업일 기준 24시간 이내</b> 선생님 답변으로 해결할 수 있는 서비스입니다. 다른 학습자들의 질문과 답변도 확인할 수 있어 학습 효과를 높일 수 있습니다.</p>

<p><u>이용 전 꼭 확인하세요</u></p>
<ol>
<li>⓵ <b>이전 질문 먼저 확인</b><br />이미 해결된 질문일 수 있습니다.</li>
<li>⓶ <b>학습 관련 질문만 등록</b><br />개인적인 검토, 사전 검색으로 해결 가능한 번역 요청 등은 답변되지 않습니다.</li>
<li>⓷ <b>이용기간</b><br />강의/교재 구매 후 기본 1년간 이용 가능하며, 강의당 1개의 질문이 원칙입니다.</li>
<li>⓸ <b>질문 수정/삭제 불가</b><br />등록된 질문과 답변은 모두 학습 자료로 보관됩니다.</li>
<li>⓹ <b>운영 정책</b><br />운영자가 질문/답변을 관리·수정·삭제할 수 있습니다.</li>
<li>⓺ <b>답변 시간</b><br />평일 기준 24시간 이내 답변합니다. 주말·공휴일은 운영하지 않습니다.</li>
<li>⓻ <b>담당 강사</b><br />저자, 강사 또는 전문 관리 강사가 답변을 담당합니다.</li>
</ol>

<p><u>AI 학습문답 안내</u></p>
<ol>
<li>⓵ 남긴 질문은 다른 학습자에게 공개되지 않지만, AI 개발을 위해 저장됩니다. <b>개인정보는 입력하지 마세요.</b></li>
<li>⓶ 학습 관련 질문만 가능합니다. 기타 서비스 문의는 <a href=""https://studymini.com/inquiry/"" target=""_blank""><u>일대일 문의 게시판</u></a>을 이용해주세요.
<li>⓷ 현재 수강생은 무료로 제한 없이 사용 가능합니다.</li>
<li>⓸ AI 답변은 <b>정확성을 보장하지 않습니다.</b> 문법, 단어 성별 등은 오류가 있을 수 있으므로 참고용으로 활용해주세요.</li>
<li>⓹ AI 학습문답은 <b>베타 서비스</b>로 제공됩니다.</li>
</ol>
"
미니학습지,배송,홈페이지에서 배송조회가 가능한가요?,"<p><b>홈페이지에서 배송조회가 가능합니다.</b></p>
<p><b>페이퍼 + 디지털 학습지</b> 옵션으로 구매한 경우, 배송 현황과 송장번호를 홈페이지에서 확인할 수 있습니다.<br />
※ 디지털 학습지만 구매한 경우 별도의 배송은 없으며 주문 상태가 완료 혹은 배송 완료로 표시됩니다.</p>

<ul>
<li><b>교재 발송</b>: 월~금요일 정오(12시) 이전 주문은 당일 발송, 정오 이후 주문은 다음날 발송됩니다. 주말 주문은 월요일부터 발송되며, 국내 배송은 평균 1~3일 소요됩니다.</li>
<li><b>송장번호 등록</b>: 발송이 시작되면 오후 3시 이후 홈페이지에 등록됩니다. [<a href=""https://studymini.com/my-account/orders/"" target=""_blank"">마이페이지 &gt; 주문목록 &gt; 상세내역</a>]에서 확인할 수 있으며, 보통 1~2일 소요됩니다.</li>
<li><b>배송 추적</b>: 송장번호를 통한 실제 배송 추적은 발송된 당일 오후 6시 이후부터 가능합니다.</li>
</ul>"
미니학습지,배송,해외 배송이 가능한가요?,"<p><b>해외 배송 안내</b></p>

<ul>
<li>해외 배송은 <b>우체국 EMS</b>(국가에 따라 EMS 프리미엄)를 통해 발송됩니다.</li>
<li>송장번호(등기번호)는 발송 후 홈페이지에서 확인 및 배송 조회가 가능합니다.</li>
<li>해외 배송 요금은 결제 시 확인할 수 있으며, 우체국 기준을 따릅니다. 차액이 발생하면 일부 환불이 진행됩니다.</li>
<li>배송 소요 기간은 국가·지역별로 다르지만 보통 평일 기준 5~7일 정도 걸립니다. 반송 방지를 위해 이메일과 홈페이지를 통한 배송 추적을 주기적으로 확인해 주세요.</li>
<li>EMS 등기번호를 활용해 세관이나 현지 우체국에서 멈춰 있지 않은지 반드시 확인해 주세요.</li>
<li>학습자의 과실로 교재가 한국으로 반송된 경우, 재발송 시 해외 배송 요금을 다시 결제해야 합니다.</li>
</ul>

<p>자세한 내용은 <a href=""https://ems.epost.go.kr/comm.RetrievePostagEMSSrvcCenter.postal"" target=""_blank"">우체국 EMS 안내 페이지</a>에서 확인할 수 있습니다.</p>"
미니학습지,수강,강의 수강 기간은 어떻게 되나요?,"<p>학습지를 구입하신 분들께 강의는 <b>무상으로 제공</b>되며, 학습지 결제 금액에 인강 구입 비용은 포함되지 않습니다. 학습지 구매 시 인터넷 강의와 학습자료를 자유롭게 이용하실 수 있습니다.</p>

<p><u>정책 안내</u></p>
<ol>
<li>⓵ <b>무상 제공</b><br />학습지 구매 시 별도 비용 없이 인강을 수강할 수 있습니다.</li>
<li>⓶ <b>정책 변경</b><br />2023년 11월부터는 별도의 만료일이나 연장 신청 없이 <b>무제한 수강</b>이 가능합니다.</li>
</ol>

<p>편리하게 무제한으로 수강하시길 바랍니다.</p>"
미니학습지,수강,왕초보도 학습지를 할 수 있나요?,"<p>미니학습지 베이직 과정은 <b>왕초보 학습자에게 최적화된 과정</b>입니다. 어떤 언어를 시작하더라도(영어 포함) 알파벳과 발음부터 차근차근 학습할 수 있도록 구성되어 있습니다. 분량 또한 한국 성인 학습자에게 적합하게 조정되어 있습니다.</p>

<p><u>과정 특징</u></p>
<ol>
<li>⓵ <b>왕초보 맞춤 구성</b><br />알파벳과 발음부터 천천히 학습을 시작할 수 있습니다.</li>
<li>⓶ <b>적절한 분량</b><br />성인 학습자에게 부담 없는 학습량으로 설계되어 있습니다.</li>
<li>⓷ <b>누구나 쉽게 시작</b><br />왕초보라도 쉽게 따라올 수 있도록 커리큘럼이 준비되어 있습니다.</li>
<li>⓸ <b>샘플 제공</b><br />강좌 구매 후 1~5일차 분량은 무료로 제공되니 직접 확인해 보세요 🙂</li>
</ol>

<p><a href=""https://studymini.com/my-course/"" target=""_blank"">👉 나의 강의실 바로가기</a></p>

<p><a href=""https://studymini.com/inquiry/"" target=""_blank""><u>일대일 문의하기</u></a></p>

"
미니학습지,수강,기기 등록이 필요한가요?,"<p><b>기기 등록은 별도로 필요하지 않습니다.</b></p>
<p>홈페이지 또는 앱에 접속만 하면 강의 영상을 바로 수강할 수 있습니다.</p>
<p>단, <b>동시 로그인 가능 기기 수는 최대 3대</b>로 제한됩니다.<br />
예) 모바일 웹, PC 웹, 태블릿 앱에 동시에 로그인한 상태에서 다른 기기로 접속하면 기존 로그인 중 한 곳은 자동 로그아웃됩니다.</p>"
미니학습지,수강,어떤 기기에서 이용할 수 있나요?,"<p><b>이용 가능한 기기 안내</b></p>
<p>동영상 강의는 별도의 기기 등록 없이 인터넷에 연결된 대부분의 기기에서 수강할 수 있습니다.</p>
<p>휴대폰, 태블릿 PC, 노트북, 개인용 PC 모두 이용 가능합니다.</p>

"
미니학습지,오류,강의 재생이 안됩니다.,"<p><b>강의 영상 재생이 되지 않을 때 확인 방법</b></p>
<p>미니학습지 동영상 강의는 주로 <b>비메오(Vimeo) 플랫폼</b>을 통해 제공됩니다. 간헐적인 서버 문제를 제외하면, 대부분은 기기 설정이나 환경 문제로 인해 발생합니다.</p>

<p><b>1. 브라우저 관련</b></p>
<ul>
<li>인터넷 익스플로러는 더 이상 지원되지 않으므로, <b>구글 크롬</b>이나 <b>네이버 웨일</b> 같은 최신 브라우저를 사용하세요.</li>
<li>캐시 삭제로 문제가 해결되는 경우가 많습니다. (F12 → 새로고침 버튼 길게 클릭 → 캐시 삭제)</li>
</ul>

<p><b>2. 재생 버퍼링이 심한 경우</b></p>
<ul>
<li>재생이 끊기는 경우, 강의실 내 <b>안내 탭</b> 또는 <a href=""https://studymini.com/faq/?category1=%EB%8F%99%EC%98%81%EC%83%81%EB%AC%B8%EC%9D%98&amp;mod=editor&amp;pageid=1&amp;uid=1922"" target=""_blank"">이 안내</a>를 확인하세요.</li>
<li>영상 화질이 1080p일 경우 버퍼링이 발생할 수 있습니다. 화질을 720p, 540p 또는 AUTO로 변경해 보세요.</li>
</ul>

<p><b>3. 기기 및 앱 업데이트</b></p>
<ul>
<li>모바일/태블릿 브라우저, 기기 소프트웨어, 미니학습지 더노트 앱이 <b>최신 버전</b>인지 확인해 주세요.</li>
</ul>

<p>위 방법으로 해결되지 않는 경우, 홈페이지를 통해 문의해 주시면 원활한 학습을 도와드리겠습니다.</p>

<p>크롬 브라우저 다운로드: <a href=""https://www.google.com/intl/ko/chrome/"" target=""_blank"">https://www.google.com/intl/ko/chrome/</a></p>"
